Year,CO2(ppmv),CH4,temp,Irish Anomaly,Global Anomaly
-18187,191.55333333333334,376.0681818181818,-64.54999999999998,,
-18230,191.01166666666666,376.83636363636367,-63.54999999999998,,
-18263,190.47,377.6045454545455,-63.499999999999986,,
-18274,190.39,378.3727272727273,-63.44999999999999,,
-18315,190.31,379.1409090909091,-63.14999999999998,,
-18355,190.23000000000002,379.90909090909093,-64.14999999999998,,
-18396,190.15,380.67727272727274,-65.04999999999998,,
-18440,190.07,381.44545454545454,-64.44999999999999,,
-18457,189.99,382.21363636363634,-64.24999999999999,,
-18483,190.64666666666668,382.9818181818182,-64.04999999999998,,
-18515,191.30333333333334,383.75,-63.91666666666665,,
-18518,191.96,366.7327831,-63.78333333333331,,
-18526,192.61666666666667,368.01802942222224,-63.64999999999998,,
-18567,193.27333333333334,369.3032757444445,-64.04999999999998,,
-18586,193.93,370.58852206666666,-63.699999999999974,,
-18608,192.3875,371.8737683888889,-63.349999999999966,,
-18649,190.845,373.1590147111111,-64.44999999999999,,
-18691,189.3025,374.44426103333336,-63.849999999999966,,
-18716,187.76,375.72950735555554,-63.99999999999997,,
-18733,188.57666666666665,377.0147536777778,-64.14999999999998,,
-18757,189.39333333333332,378.3,-64.24999999999997,,
-18775,190.20999999999998,376.61353068750003,-64.34999999999997,,
-18818,191.02666666666667,374.927061375,-64.34999999999997,,
-18861,191.84333333333333,373.2405920625,-64.84999999999997,,
-18878,192.66,371.55412275000003,-64.19999999999997,,
-18904,192.302,369.8676534375,-63.54999999999998,,
-18945,191.944,368.181184125,-63.44999999999999,,
-18985,191.586,366.4947148125,-63.94999999999999,,
-19004,191.228,364.8082455,-64.01666666666665,,
-19014,190.87,363.69742095,-64.08333333333331,,
-19025,190.2525,362.5865964,-64.14999999999998,,
-19068,189.635,361.47577185,-64.24999999999997,,
-19110,189.0175,360.3649473,-64.24999999999997,,
-19117,188.4,359.25412274999996,-63.949999999999974,,
-19152,188.8125,358.1432982,-63.64999999999998,,
-19194,189.22500000000002,357.03247365,-63.94999999999999,,
-19235,189.63750000000002,355.92164909999997,-64.04999999999998,,
-19262,190.05,354.81082455,-64.08333333333331,,
-19267,189.488,353.7,-64.11666666666665,,
-19276,188.92600000000002,354.1125,-64.14999999999998,,
-19319,188.364,354.525,-64.04999999999998,,
-19361,187.80200000000002,354.9375,-64.74999999999997,,
-19395,187.24,355.35,-64.29999999999997,,
-19404,186.95285714285714,355.7625,-63.849999999999966,,
-19446,186.6657142857143,356.175,-64.14999999999998,,
-19487,186.37857142857143,356.5875,-63.349999999999966,,
-19519,186.09142857142857,357.0,-63.49999999999997,,
-19529,185.8042857142857,357.03,-63.64999999999998,,
-19573,185.51714285714286,357.06,-64.64999999999998,,
